gene_symbol	uniprot	tdl	tdl_priority
TRBV10-2	A0A0K0K1G8	Tdark	4
TRBV10-3	A0A0K0K1G6	Tdark	4
TRBV11-1	A0A0K0K1C0	Tdark	4
TRBV11-2	A0A584	Tdark	4
TRBV11-3	A0A5A6	Tdark	4
TRBV12-3	P01733	Tdark	4
TRBV12-4	A0A0B4J2E0	Tdark	4
TRBV12-5	A0A1B0GX78	Tdark	4
TRBV13	A0A0A6YYD4	Tdark	4
TRBV14	A0A5B0	Tdark	4
TRBV16	A0A087WV62	Tdark	4
TRBV18	A0A087X0M5	Tdark	4
TRBV19	A0A075B6N1	Tdark	4
TRBV2	A0A1B0GX68	Tdark	4
TRBV20-1	A0A075B6N2	Tdark	4
TRBV24-1	A0A075B6N3	Tdark	4
TRBV25-1	A0A075B6N4	Tdark	4
TRBV27	A0A0K0K1C4	Tdark	4
TRBV28	A0A5B6	Tdark	4
TRBV29-1	A0A5B7	Tdark	4
TRBV3-1	A0A576	Tdark	4
TRBV30	A0A0K0K1B3	Tdark	4
TRBV4-1	A0A577	Tdark	4
TRBV4-2	A0A539	Tdark	4
TRBV4-3	A0A589	Tdark	4
TRBV5-1	A0A578	Tdark	4
TRBV5-4	A0A0C4DH59	Tdark	4
TRBV5-5	A0A597	Tdark	4
TRBV5-6	A0A599	Tdark	4
TRBV5-8	A0A5A2	Tdark	4
TRBV6-1	A0A0K0K1D8	Tdark	4
TRBV6-2	A0A0J9YXY3	Tdark	4
TRBV6-3	P0DPF7	Tdark	4
TRBV6-4	A0A1B0GX49	Tdark	4
TRBV6-5	A0A0K0K1A5	Tdark	4
TRBV6-6	A0A0A6YYG2	Tdark	4
TRBV6-8	A0A0A6YYG3	Tdark	4
TRBV6-9	A0A0J9YX75	Tdark	4
TRBV7-2	A0A1B0GXF2	Tdark	4
TRBV7-4	A0A1B0GX95	Tdark	4
TRBV7-6	A0A1B0GX31	Tdark	4
TRBV7-7	A0A0K0K1E9	Tdark	4
TRBV7-8	A0A1B0GX51	Tdark	4
TRBV7-9	P04435	Tdark	4
TRBV9	A0A0B4J1U6	Tdark	4
TRDC	B7Z8K6	Tdark	4
TRDD1	P0DPR3	Tdark	4
TRDJ1	A0A075B706	Tdark	4
TRDMT1	O14717	Tbio	3
TRDN	Q13061	Tbio	3
TRDV1	A0A1B0GX56	Tdark	4
TRDV2	A0JD36	Tdark	4
TRDV3	A0JD37	Tdark	4
TREH	O43280	Tchem	2
TREM1	Q9NP99	Tbio	3
TREM2	Q9NZC2	Tbio	3
TREML1	Q86YW5	Tbio	3
TREML2	Q5T2D2	Tbio	3
